Application,Product,Drug,NDA,Marketing,Sponsor,Form,Strength,Ingredient,DocumentType,DocumentDate,DocumentURL
20816,1,AZOPT,N020816,Prescription,NOVARTIS,SUSPENSION/DROPS (OPHTHALMIC),1%,BRINZOLAMIDE,Pediatric Medical Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/021114s002_levobetaxolol_Betaxon MedRev.pdf
20928,1,GLUCAGON,N020928,Prescription,LILLY,INJECTABLE (INJECTION),1MG/VIAL,GLUCAGON,Label,1998-09-11T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/label/1998/20928lbl.pdf
21497,1,ALINIA,N021497,Prescription,ROMARK,TABLET (ORAL),500MG,NITAZOXANIDE,Letter,2004-07-21T00:00:00Z,"http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/21497,21498s001ltr.pdf"
203049,1,ARGATROBAN,N203049,Prescription,HIKMA PHARM CO LTD,INJECTABLE (INJECTION),250MG/2.5ML (100MG/ML),ARGATROBAN,Label,2012-01-06T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/203049s000lbl.pdf
203049,2,ARGATROBAN,N203049,Prescription,HIKMA PHARM CO LTD,INJECTABLE (INJECTION),50MG/50ML (1MG/ML),ARGATROBAN,Label,2012-01-06T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/203049s000lbl.pdf
204426,1,TAYTULLA,N204426,Prescription,APIL,CAPSULE (ORAL),0.02MG;1MG,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,Pediatric Medical Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204426 ee ne clinical prea.pdf
204781,1,DOTAREM,N204781,Prescription,GUERBET,SOLUTION (INTRAVENOUS),37.69GM/100ML (376.9MG/ML),GADOTERATE MEGLUMINE,Pediatric Clinical Pharmacology Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204781 gadoterate meglumine Dotarem ClinPharm prea.pdf
204781,2,DOTAREM,N204781,Prescription,GUERBET,SOLUTION (INTRAVENOUS),3.769GM/10ML (376.9MG/ML),GADOTERATE MEGLUMINE,Pediatric Clinical Pharmacology Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204781 gadoterate meglumine Dotarem ClinPharm prea.pdf
204781,3,DOTAREM,N204781,Prescription,GUERBET,SOLUTION (INTRAVENOUS),5.6535GM/15ML (376.9MG/ML),GADOTERATE MEGLUMINE,Pediatric Clinical Pharmacology Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204781 gadoterate meglumine Dotarem ClinPharm prea.pdf
204781,4,DOTAREM,N204781,Prescription,GUERBET,SOLUTION (INTRAVENOUS),7.538GM/20ML (376.9MG/ML),GADOTERATE MEGLUMINE,Pediatric Clinical Pharmacology Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204781 gadoterate meglumine Dotarem ClinPharm prea.pdf
204781,5,DOTAREM,N204781,Prescription,GUERBET,SOLUTION (INTRAVENOUS),1.8845GM/5ML (376.9MG/ML),GADOTERATE MEGLUMINE,Pediatric Clinical Pharmacology Review,1900-01-01T00:00:00Z,https://www.accessdata.fda.gov/drugsatfda_docs/pediatric/204781 gadoterate meglumine Dotarem ClinPharm prea.pdf
209260,1,ATROPINE SULFATE,N209260,Prescription,FRESENIUS KABI USA,"SOLUTION (INTRAVENOUS, INTRAMUSCULAR, SUBCUTANEOUS, INTRAOSSEOUS, ENDOTRACHEAL)",8MG/20ML (0.4MG/ML),ATROPINE SULFATE,Label,2018-01-30T00:00:00Z,http://www.accessdata.fda.gov/drugsatfda_docs/label/2018/209260s000lbl.pdf
