Application,Product,Drug,NDA,Marketing,Sponsor,Form,Strength,Ingredient,DocumentType,DocumentDate,DocumentURL
4782,1,PREMARIN,N004782,Prescription,WYETH PHARMS,TABLET (ORAL),1.25MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
4782,2,PREMARIN,N004782,Discontinued,WYETH PHARMS,TABLET (ORAL),2.5MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
4782,3,PREMARIN,N004782,Prescription,WYETH PHARMS,TABLET (ORAL),0.3MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
4782,4,PREMARIN,N004782,Prescription,WYETH PHARMS,TABLET (ORAL),0.625MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
4782,5,PREMARIN,N004782,Prescription,WYETH PHARMS,TABLET (ORAL),0.9MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
4782,6,PREMARIN,N004782,Prescription,WYETH PHARMS,TABLET (ORAL),0.45MG,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
5939,1,BAL,N005939,Prescription,AKORN,INJECTABLE (INJECTION),10%,DIMERCAPROL,,,
6188,1,PROPYLTHIOURACIL,N006188,Prescription,DAVA PHARMS INC,TABLET (ORAL),50MG,PROPYLTHIOURACIL,,,
8922,1,CALCIUM DISODIUM VERSENATE,N008922,Prescription,BAUSCH,INJECTABLE (INJECTION),200MG/ML,EDETATE CALCIUM DISODIUM,,,
8922,2,CALCIUM DISODIUM VERSENATE,N008922,Discontinued,BAUSCH,TABLET (ORAL),500MG,EDETATE CALCIUM DISODIUM,,,
9190,1,LIPIODOL,N009190,Prescription,GUERBET,"OIL (INTRALYMPHATIC, INTRAUTERINE)",EQ 4.8GM IODINE/10ML (EQ 480MG IODINE/ML),ETHIODIZED OIL,,,
9386,1,MYLERAN,N009386,Prescription,ASPEN GLOBAL,TABLET (ORAL),2MG,BUSULFAN,,,
9435,1,NESACAINE,N009435,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),1%,CHLOROPROCAINE HYDROCHLORIDE,,,
9435,2,NESACAINE,N009435,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),2%,CHLOROPROCAINE HYDROCHLORIDE,,,
9435,3,NESACAINE-MPF,N009435,Discontinued,FRESENIUS KABI USA,INJECTABLE (INJECTION),2%,CHLOROPROCAINE HYDROCHLORIDE,,,
9435,4,NESACAINE-MPF,N009435,Discontinued,FRESENIUS KABI USA,INJECTABLE (INJECTION),3%,CHLOROPROCAINE HYDROCHLORIDE,,,
9435,6,NESACAINE-MPF,N009435,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),2%,CHLOROPROCAINE HYDROCHLORIDE,,,
9435,7,NESACAINE-MPF,N009435,Prescription,FRESENIUS KABI USA,INJECTABLE (INJECTION),3%,CHLOROPROCAINE HYDROCHLORIDE,,,
10402,1,PREMARIN,N010402,Prescription,WYETH PHARMS,INJECTABLE (INJECTION),25MG/VIAL,"ESTROGENS, CONJUGATED",Other Important Information from FDA,2009-06-02T00:00:00Z,http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm103324.htm
